discipline	informationElement	level	identifier
Paleontology	Chronostratigraphy	MIDS1	Paleontology_Chronostratigraphy_MIDS1
Paleontology	CollectorID	MIDS3	Paleontology_CollectorID_MIDS3
Paleontology	GeographicalLocalityID	MIDS3	Paleontology_GeographicalLocalityID_MIDS3
Paleontology	IdentifiedByID	MIDS3	Paleontology_IdentifiedByID_MIDS3
Paleontology	IndentifiedAsID	MIDS3	Paleontology_IndentifiedAsID_MIDS3
Paleontology	InstitutionID	MIDS3	Paleontology_InstitutionID_MIDS3
Paleontology	License	MIDS1	Paleontology_License_MIDS1
Paleontology	MediaID	MIDS3	Paleontology_MediaID_MIDS3
Paleontology	Modified	MIDS1	Paleontology_Modified_MIDS1
Paleontology	Name	MIDS1	Paleontology_Name_MIDS1
Paleontology	ObjectType	MIDS1	Paleontology_ObjectType_MIDS1
Paleontology	Organization	MIDS0	Paleontology_Organization_MIDS0
Paleontology	PhysicalSpecimenID	MIDS0	Paleontology_PhysicalSpecimenID_MIDS0
Paleontology	QualitativeLocation	MIDS2	Paleontology_QualitativeLocation_MIDS2
Paleontology	QuantitativeLocation	MIDS2	Paleontology_QuantitativeLocation_MIDS2
Paleontology	StratigraphicContext	MIDS2	Paleontology_StratigraphicContext_MIDS2
Paleontology	TypeStatus	MIDS2	Paleontology_TypeStatus_MIDS2
